plan_level,six_bay_block_id,area_no,six_bay_block_bays,six_bay_block_total_boxes,allocation_summary
small_six_bay_block,5A-SB04,5A,37|39|41|43|45|47,74,453416_S023|5;453416_S043|34;453416_S044|29;453416_S047|6
small_six_bay_block,5A-SB05,5A,49|51|53|55|57|59,27,453416_S045|8;453416_S046|4;453416_S047|13;453416_S050|2
small_six_bay_block,5A-SB06,5A,61|63|65|67|69|71,3,453352_S005|2;453352_S006|1
small_six_bay_block,5B-SB01,5B,01|03|05|07|09|11,8,453352_S001|1;453352_S002|1;453352_S003|4;453352_S004|2
small_six_bay_block,5B-SB02,5B,13|15|17|19|25|27,18,453273_S002|18
small_six_bay_block,5B-SB04,5B,41|43|45|47|49|51,26,453273_S002|26
small_six_bay_block,5E-SB01,5E,01|03|05|07|09|11,13,453307_S004|13
small_six_bay_block,60-SB01,60,03|05|07|17|19|21,5,453273_S002|5
small_six_bay_block,60-SB02,60,23|25|35|37|39|41,3,453273_S002|3
small_six_bay_block,60-SB03,60,43|49|51|53|55|61,5,453273_S002|5
small_six_bay_block,61-SB01,61,09|11|23|25|41|43,4,453273_S002|4
small_six_bay_block,61-SB02,61,55|57|59|61|65|67,5,453273_S002|5
small_six_bay_block,62-SB01,62,17|21|23|27|37|39,4,453307_S097|1;454548_S011|2;454548_S177|1
small_six_bay_block,64-SB01,64,01|03|05|07|09|11,29,453307_S056|2;453307_S075|1;453307_S076|2;453307_S147|3;453307_S148|3;453307_S149|1;453307_S153|7;453307_S154|4;453307_S155|2;453307_S156|4
small_six_bay_block,64-SB02,64,13|15|17|19|21|23,11,453307_S055|5;453307_S057|5;453307_S058|1
small_six_bay_block,64-SB03,64,25|27|29|31|33|35,19,453307_S150|1;453307_S168|9;453307_S169|9
small_six_bay_block,64-SB04,64,37|39|41|43|45|47,16,453307_S056|1;453307_S058|4;453307_S117|1;453307_S152|1;453307_S157|1;453307_S169|8
small_six_bay_block,64-SB05,64,49|51|53|55|57|59,15,453307_S054|14;453307_S057|1
small_six_bay_block,64-SB06,64,61|63|65|67|69|71,23,453307_S148|4;453307_S151|12;453307_S168|7
small_six_bay_block,65-SB01,65,01|03|05|07|09|11,37,454548_S037|11;454548_S111|26
small_six_bay_block,65-SB02,65,13|15|17|19|21|23,24,454548_S037|9;454548_S111|11;454548_S116|4
small_six_bay_block,65-SB03,65,25|27|29|31|33|35,18,454548_S111|6;454548_S114|2;454548_S116|10
small_six_bay_block,65-SB04,65,37|39|41|43|45|47,23,454548_S037|14;454548_S116|9
small_six_bay_block,65-SB06,65,61|63|65|67|69|71,32,454548_S037|5;454548_S111|18;454548_S116|9
small_six_bay_block,68-SB01,68,01|03|05|07|09|11,7,453273_S018|1;453273_S019|2;453273_S020|1;453273_S024|1;453307_S023|2
small_six_bay_block,68-SB02,68,13|15|17|19|21|23,28,453273_S025|10;453273_S027|2;453273_S029|4;453273_S030|2;453307_S024|1;453307_S025|2;453307_S026|3;453307_S027|1;453307_S028|2;453307_S031|1
