run_id,planning_time,voy_id,flow,area_no,size,planned_qty,status_name,objective_value
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,82,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,83,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,E1,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,E2,20,5,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,E4,20,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,E5,20,7,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,E8,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,EA,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,EC,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,T,30,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,T,41,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,T,43,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,T,70,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,28,20,82,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,38,20,81,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,39,20,24,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,49,20,82,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,61,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,62,20,4,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,66,20,4,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,69,20,79,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,6C,20,10,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,73,20,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,10,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,11,20,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,12,20,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,14,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,22,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,23,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,26,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,30,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,32,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,33,20,5,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,41,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,42,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,43,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,51,20,7,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,60,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,61,20,8,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,62,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,63,20,10,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,70,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,71,20,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,73,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,74,20,2,OPTIMAL,73649.57700583554
