area_no,work_type,has_position,voy_id,planned_qty
E4,OF/OZ/IF/IZ/T,1,453412,98
E4,OF/OZ/IF/IZ/T,1,453416,20
E4,OF/OZ/IF/IZ/T,1,454549,25
E4,OF/OZ/IF/IZ/T,1,454585,8
E4,OF/OZ/IF/IZ/T,1,454710,1
E5,OF/OZ/IF/IZ/T,1,453250,19
E5,OF/OZ/IF/IZ/T,1,453273,223
E5,OF/OZ/IF/IZ/T,1,453308,29
E5,OF/OZ/IF/IZ/T,1,453324,72
E5,OF/OZ/IF/IZ/T,1,453356,31
E5,OF/OZ/IF/IZ/T,1,453388,40
E5,OF/OZ/IF/IZ/T,1,453396,49
E5,OF/OZ/IF/IZ/T,1,453412,36
E5,OF/OZ/IF/IZ/T,1,453416,29
E5,OF/OZ/IF/IZ/T,1,454549,15
E5,OF/OZ/IF/IZ/T,1,454585,12
E5,OF/OZ/IF/IZ/T,1,454710,8
E6,OF/OZ/IF/IZ/T,1,453250,21
E6,OF/OZ/IF/IZ/T,1,453273,230
E6,OF/OZ/IF/IZ/T,1,453308,29
E6,OF/OZ/IF/IZ/T,1,453324,19
E6,OF/OZ/IF/IZ/T,1,453356,6
E6,OF/OZ/IF/IZ/T,1,453396,46
E6,OF/OZ/IF/IZ/T,1,453412,31
E6,OF/OZ/IF/IZ/T,1,453416,17
E6,OF/OZ/IF/IZ/T,1,454549,23
E6,OF/OZ/IF/IZ/T,1,454585,1
E7,OF/OZ/IF/IZ/T,1,453250,20
E7,OF/OZ/IF/IZ/T,1,453273,218
E7,OF/OZ/IF/IZ/T,1,453308,57
E7,OF/OZ/IF/IZ/T,1,453324,14
E7,OF/OZ/IF/IZ/T,1,453356,15
E7,OF/OZ/IF/IZ/T,1,453396,51
E7,OF/OZ/IF/IZ/T,1,453412,29
E7,OF/OZ/IF/IZ/T,1,453416,19
E8,OF/OZ/IF/IZ/T,1,453250,6
E8,OF/OZ/IF/IZ/T,1,453307,500
E8,OF/OZ/IF/IZ/T,1,453308,18
E8,OF/OZ/IF/IZ/T,1,453324,4
E8,OF/OZ/IF/IZ/T,1,453356,4
E8,OF/OZ/IF/IZ/T,1,453388,2
E8,OF/OZ/IF/IZ/T,1,453396,56
E8,OF/OZ/IF/IZ/T,1,453412,70
E8,OF/OZ/IF/IZ/T,1,453416,42
E8,OF/OZ/IF/IZ/T,1,454549,47
E8,OF/OZ/IF/IZ/T,1,454585,6
E8,OF/OZ/IF/IZ/T,1,454710,1
E9,OF/OZ/IF/IZ/T,1,453250,30
E9,OF/OZ/IF/IZ/T,1,453307,222
E9,OF/OZ/IF/IZ/T,1,453308,46
E9,OF/OZ/IF/IZ/T,1,453324,74
E9,OF/OZ/IF/IZ/T,1,453356,17
E9,OF/OZ/IF/IZ/T,1,453388,31
E9,OF/OZ/IF/IZ/T,1,453396,21
E9,OF/OZ/IF/IZ/T,1,453412,61
E9,OF/OZ/IF/IZ/T,1,453416,36
E9,OF/OZ/IF/IZ/T,1,454549,29
E9,OF/OZ/IF/IZ/T,1,454585,6
EA,OF/OZ/IF/IZ/T,1,453250,18
EA,OF/OZ/IF/IZ/T,1,453307,192
EA,OF/OZ/IF/IZ/T,1,453308,48
EA,OF/OZ/IF/IZ/T,1,453324,92
EA,OF/OZ/IF/IZ/T,1,453356,21
