voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty,planning_time,status_name,objective_value
453324,OF,38,40,12,0.0,12.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,1B,40,12,0.0,12.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,29,40,12,0.0,12.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,2A,40,12,0.0,12.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,3B,40,12,0.0,12.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,49,40,12,0.0,12.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,4A,40,12,0.0,12.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,4B,40,12,0.0,12.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,59,40,12,0.0,12.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,5A,40,12,0.0,12.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,5B,40,12,0.0,12.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,69,40,12,0.0,12.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,89,40,12,0.0,12.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,8A,40,12,0.0,12.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453356,OF,29,40,142,98.0,44.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453356,OF,2A,40,150,37.0,113.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453356,OF,38,40,16,3.0,13.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453388,OF,2B,40,85,0.0,85.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453388,OF,4B,40,85,2.0,83.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453388,OF,5A,40,85,0.0,85.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453388,OF,5B,40,42,0.0,42.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
