voyage_id,flow,area_no,planned_boxes,size_mode,plan_date
453324,T,44,1,20,
453324,T,44,2,40,
453324,T,45,3,20,
453324,T,45,22,40,
453324,T,46,2,20,
453324,T,47,2,20,
453324,T,47,7,40,
453324,T,52,16,40,
453324,T,53,1,20,
453324,T,53,2,40,
453324,T,54,2,40,
453324,T,55,14,40,
453324,T,62,2,20,
453324,T,62,5,40,
453324,T,63,1,20,
453324,T,63,7,40,
453324,T,64,7,40,
453324,T,65,6,20,
453324,T,65,30,40,
453324,T,66,4,40,
453324,T,67,2,40,
453324,T,72,8,40,
453324,T,73,6,20,
453324,T,73,16,40,
453324,T,74,1,20,
453324,T,74,1,40,
453324,T,75,11,40,
453324,T,76,1,20,
453324,T,76,8,40,
453324,T,77,3,40,
453324,T,82,2,40,
453324,T,83,5,20,
453324,T,83,5,40,
453324,T,85,1,20,
453324,T,85,10,40,
453324,T,86,1,20,
453324,T,86,2,40,
453324,T,87,3,40,
453324,T,88,11,40,
453324,T,94,1,40,
453324,T,E1,5,40,
453324,T,E2,21,20,
453324,T,E2,32,40,
453324,T,E4,18,20,
453324,T,E4,55,40,
453324,T,E5,8,20,
453324,T,E5,53,40,
453324,T,E6,1,40,
453324,T,E8,2,40,
453324,T,E9,10,20,
453324,T,E9,39,40,
453324,T,EA,18,20,
453324,T,EA,60,40,
453324,T,EB,3,20,
453324,T,EB,48,40,
453324,T,EC,11,20,
453324,T,EC,49,40,
453324,T,EE,1,40,
453352,OF,3H,2,20,
453352,OF,5A,18,20,
453352,OF,5A,11,40,
453352,T,22,4,40,
453352,T,23,21,40,
453352,T,33,2,40,
453352,T,45,11,40,
453352,T,57,3,40,
453352,T,64,10,40,
453352,T,74,7,40,
453352,T,83,1,20,
453356,OF,19,44,20,
453356,OF,19,76,40,
453356,OF,1B,11,20,
453356,OF,1B,179,40,
453356,OF,1D,8,20,
453356,OF,1D,108,40,
453356,OF,28,45,20,
453356,OF,28,13,40,
453356,OF,29,45,20,
453356,OF,29,98,40,
453356,OF,2A,10,20,
453356,OF,2A,75,40,
453356,OF,2B,1,20,
453356,OF,2B,1,40,
453356,OF,38,44,20,
453356,OF,38,17,40,
453356,OF,39,28,20,
453356,OF,39,1,40,
453356,OF,3A,50,40,
453356,OF,3D,1,40,
453356,OF,AC,2,20,
453356,OF,AC,3,40,
453356,OF,AD,1,40,
453356,OF,E4,2,40,
453356,OF,E5,8,20,
453356,OF,E5,1,40,
453356,OF,E6,6,40,
453356,OF,E7,15,40,
453356,OF,E9,2,40,
453356,OF,EA,3,40,
453356,OF,EB,3,40,
453356,OF,EC,33,40,
453356,OF,ED,41,40,
453356,OZ,10,1,40,
453356,OZ,12,2,40,
453356,OZ,31,3,40,
453356,OZ,41,3,40,
453356,OZ,51,8,40,
453356,OZ,81,1,20,
453356,OZ,81,3,40,
453356,OZ,E2,8,40,
453356,OZ,E3,2,40,
453356,OZ,E4,15,40,
453356,OZ,E5,8,40,
453356,OZ,E8,1,40,
453356,OZ,E9,8,40,
453356,OZ,EA,3,40,
453356,OZ,EB,10,40,
453356,OZ,EC,9,40,
453356,T,14,3,40,
453356,T,17,1,40,
453356,T,22,3,40,
453356,T,23,1,20,
453356,T,24,1,40,
453356,T,27,4,40,
453356,T,32,1,20,
453356,T,32,1,40,
453356,T,42,3,20,
453356,T,42,6,40,
453356,T,43,1,40,
453356,T,44,1,40,
453356,T,45,1,20,
453356,T,45,1,40,
453356,T,47,4,20,
453356,T,47,5,40,
453356,T,52,6,40,
453356,T,53,1,40,
453356,T,54,5,40,
453356,T,55,10,40,
453356,T,62,2,20,
453356,T,62,3,40,
453356,T,63,1,20,
453356,T,63,7,40,
453356,T,64,6,40,
453356,T,65,9,40,
453356,T,66,9,40,
453356,T,67,1,20,
453356,T,73,1,40,
453356,T,74,7,40,
453356,T,75,7,40,
453356,T,77,1,40,
453356,T,83,2,20,
453356,T,83,3,40,
453356,T,84,3,40,
453356,T,86,1,40,
453356,T,87,2,40,
453356,T,88,46,40,
453356,T,94,1,40,
453356,T,E1,3,40,
453356,T,E2,6,40,
453356,T,E3,1,40,
453356,T,E4,2,20,
453356,T,E4,10,40,
453356,T,E5,1,20,
453356,T,E5,13,40,
453356,T,E8,3,40,
453356,T,E9,7,40,
453356,T,EA,15,40,
453356,T,EB,16,40,
453356,T,EC,2,20,
453356,T,EC,1,40,
453388,OF,29,74,20,
453388,OF,29,147,40,
453388,OF,2B,2,20,
453388,OF,4A,74,20,
453388,OF,4A,146,40,
453388,OF,4B,7,20,
453388,OF,4B,2,40,
453388,OF,5A,75,20,
453388,OF,5A,147,40,
453388,OF,89,74,20,
453388,OF,89,110,40,
453388,OF,E2,1,40,
453388,OF,E4,4,20,
453388,OF,E5,18,20,
453388,OF,E5,1,40,
453388,OF,E9,1,20,
453388,OF,EA,1,40,
453388,OF,EC,1,40,
453388,OF,ED,1,40,
453388,OZ,11,5,40,
453388,OZ,30,1,40,
453388,OZ,41,1,40,
453388,OZ,61,1,20,
453388,OZ,61,1,40,
453388,OZ,70,1,20,
453388,OZ,71,1,20,
453388,OZ,E1,2,40,
453388,OZ,E2,4,40,
453388,OZ,E4,3,40,
453388,OZ,E5,4,40,
453388,OZ,E8,1,40,
453388,OZ,E9,7,40,
453388,OZ,EB,11,40,
453388,OZ,EC,9,40,
453388,T,13,6,20,
453388,T,13,3,40,
453388,T,14,1,40,
453388,T,16,2,20,
453388,T,22,2,20,
453388,T,23,1,40,
453388,T,37,1,40,
453388,T,45,1,40,
453388,T,52,2,20,
453388,T,53,3,20,
453388,T,54,2,40,
453388,T,55,1,20,
453388,T,57,1,40,
453388,T,62,10,40,
453388,T,63,1,40,
453388,T,65,1,20,
453388,T,65,1,40,
453388,T,66,1,20,
453388,T,66,5,40,
453388,T,67,12,20,
453388,T,67,34,40,
453388,T,72,2,20,
453388,T,72,1,40,
453388,T,75,4,40,
453388,T,77,13,20,
453388,T,77,9,40,
453388,T,84,1,40,
453388,T,93,4,40,
453388,T,E1,4,40,
453388,T,E2,1,20,
453388,T,E2,14,40,
453388,T,E4,9,20,
453388,T,E4,10,40,
453388,T,E5,17,40,
453388,T,E8,1,40,
453388,T,E9,4,20,
453388,T,E9,19,40,
453388,T,EA,7,40,
453388,T,EB,1,20,
453388,T,EB,4,40,
453388,T,EC,2,20,
453388,T,EC,12,40,
453388,T,ED,1,40,
453396,OF,19,8,20,
453396,OF,19,2,40,
453396,OF,1C,5,20,
453396,OF,1D,3,20,
453396,OF,1D,6,40,
453396,OF,29,10,20,
453396,OF,29,2,40,
453396,OF,2C,2,20,
453396,OF,2C,1,40,
453396,OF,2D,3,40,
453396,OF,3A,1,20,
453396,OF,3G,1,40,
453396,OF,3H,1,40,
453396,OF,3K,1,40,
453396,OF,4D,3,40,
453396,OF,59,7,20,
