plan_level,voyage_id,group_id,demand_source,flow,port,size,height,weight_class,special_stow,special_stow_code,area_no,bay_no,row_no,row_allocation,six_bay_block_id,six_bay_block_bays,six_bay_block_total_boxes,planned_boxes,IYC_CHEIGHTCD,IYC_CSZ_CSIZECD,IYC_CWEIGHT,IYC_POT_UNLDPORT,IYC_EVOY_ID
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,30,33,04,30|33:04:1|30|35:04:1,30-SB01,15|17|19|21|23|33,1,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,30,41,02,30|41:02:1|30|43:02:1,30-SB02,35|41|43|49|51|53,1,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,31,05,05,31|05:05:1|31|07:05:1,31-SB01,05|07|17|19|21|23,3,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,31,21,02,31|21:02:2|31|23:02:2,31-SB01,05|07|17|19|21|23,3,2,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,31,25,04,31|25:04:1|31|27:04:1,31-SB02,25|27|41|43|49|51,3,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,31,49,01,31|49:01:1|31|51:01:1,31-SB02,25|27|41|43|49|51,3,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,31,49,05,31|49:05:1|31|51:05:1,31-SB02,25|27|41|43|49|51,3,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,31,57,02,31|57:02:1|31|59:02:1,,,0,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,40,01,02,40|01:02:1|40|03:02:1,,,0,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,40,05,01,40|05:01:1|40|07:01:1,,,0,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,40,09,01,40|09:01:1|40|11:01:1,,,0,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,40,13,01,40|13:01:2|40|15:01:2,,,0,2,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,40,17,01,40|17:01:1|40|19:01:1,,,0,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,40,29,01,40|29:01:1|40|31:01:1,,,0,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,40,37,04,40|37:04:1|40|39:04:1,,,0,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,41,01,06,41|01:06:1|41|03:06:1,41-SB01,01|03|05|07|09|15,2,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,41,05,04,41|05:04:1|41|07:04:1,41-SB01,01|03|05|07|09|15,2,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,41,25,03,41|25:03:1|41|27:03:1,41-SB02,17|19|25|27|29|31,3,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,41,25,06,41|25:06:1|41|27:06:1,41-SB02,17|19|25|27|29|31,3,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,41,29,03,41|29:03:1|41|31:03:1,41-SB02,17|19|25|27|29|31,3,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,41,41,02,41|41:02:1|41|43:02:1,41-SB03,41|43|45|47|53|55,7,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,41,45,02,41|45:02:2|41|47:02:2,41-SB03,41|43|45|47|53|55,7,2,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,41,45,04,41|45:04:1|41|47:04:1,41-SB03,41|43|45|47|53|55,7,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,41,45,05,41|45:05:1|41|47:05:1,41-SB03,41|43|45|47|53|55,7,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,41,45,06,41|45:06:1|41|47:06:1,41-SB03,41|43|45|47|53|55,7,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,41,53,06,41|53:06:1|41|55:06:1,41-SB03,41|43|45|47|53|55,7,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,05,01,4B|05:01:2|4B|07:01:2,4B-SB01,01|03|05|07|09|11,15,2,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,21,01,4B|21:01:4|4B|23:01:4,4B-SB02,13|15|17|19|21|23,26,4,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,21,02,4B|21:02:5|4B|23:02:5,4B-SB02,13|15|17|19|21|23,26,5,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,21,03,4B|21:03:5|4B|23:03:5,4B-SB02,13|15|17|19|21|23,26,5,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,21,04,4B|21:04:5|4B|23:04:5,4B-SB02,13|15|17|19|21|23,26,5,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,21,05,4B|21:05:4|4B|23:05:4,4B-SB02,13|15|17|19|21|23,26,4,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,21,06,4B|21:06:3|4B|23:06:3,4B-SB02,13|15|17|19|21|23,26,3,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,25,01,4B|25:01:4|4B|27:01:4,4B-SB03,25|27|29|31|33|35,56,4,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,25,02,4B|25:02:5|4B|27:02:5,4B-SB03,25|27|29|31|33|35,56,5,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,25,03,4B|25:03:5|4B|27:03:5,4B-SB03,25|27|29|31|33|35,56,5,HQ,40,1,CNSHA,
