plan_level,voyage_id,group_id,size,big_plan_size,height,status,port,operator,ctype,special,business_special,is_large_attribute,attribute_quantity_threshold,window_start,window_end,area_loading_during_window,area_loading_after_window_24h,area_no,yard_block,yard_block_bays,yard_block_bay_count,yard_block_boundary_adjusted,voyage_area_block_count,voyage_area_block_span,voyage_area_block_gap_count,bay_no,is_fallback_bay,fallback_reason,plan_reason,planned_boxes,group_demand
small,453400,453400_G010,40,40,HQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B05,"47,49,51,53,55,57,59",7,True,6,6,0,55,False,,large_attribute_to_bay;large_attribute,7,58
small,453400,453400_G010,40,40,HQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B01,"01,03,05,07,09,11",6,False,4,4,0,05,False,,large_attribute_to_bay;large_attribute,5,58
small,453400,453400_G010,40,40,HQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B02,"13,15,17,19,21,23,25,27,29,31,33,35",12,True,4,4,0,13,False,,large_attribute_to_bay;large_attribute,4,58
small,453400,453400_G010,40,40,HQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B02,"13,15,17,19,21,23,25,27,29,31,33,35",12,True,4,4,0,21,False,,large_attribute_to_bay;large_attribute,2,58
small,453400,453400_G010,40,40,HQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B03,"37,39,41,43,45,47,49,51,53,55,57",11,True,4,4,0,43,False,,large_attribute_to_bay;large_attribute,2,58
small,453400,453400_G010,40,40,HQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B03,"37,39,41,43,45,47,49,51,53,55,57",11,True,4,4,0,47,False,,large_attribute_to_bay;large_attribute,5,58
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,False,True,19,19-B03,"25,27,29,31,33,35",6,False,3,3,0,25,False,,large_attribute_to_bay;large_attribute,1,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,False,True,19,19-B03,"25,27,29,31,33,35",6,False,3,3,0,29,True,existing_empty_container|existing_reefer_container,large_attribute_to_bay;large_attribute,4,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,False,True,19,19-B03,"25,27,29,31,33,35",6,False,3,3,0,33,False,,large_attribute_to_bay;large_attribute,1,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B01,"01,03,05,07,09,11",6,False,6,6,0,09,True,existing_reefer_container,large_attribute_to_bay;large_attribute,5,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B02,"13,15,17,19,21,23",6,False,6,6,0,17,False,,large_attribute_to_bay;large_attribute,7,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B03,"25,27,29,31,33,35",6,False,6,6,0,29,False,,large_attribute_to_bay;large_attribute,5,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B04,"37,39,41,43,45",5,True,6,6,0,37,True,existing_reefer_container,large_attribute_to_bay;large_attribute,4,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B04,"37,39,41,43,45",5,True,6,6,0,41,True,existing_reefer_container,large_attribute_to_bay;large_attribute,4,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B05,"47,49,51,53,55,57,59",7,True,6,6,0,53,False,,large_attribute_to_bay;large_attribute,4,66
