voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty,planning_time,status_name,objective_value
454548,T,33,40,168,0.0,168.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454548,T,42,40,112,0.0,112.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454548,T,44,40,47,0.0,47.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454548,T,52,40,62,0.0,62.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454548,T,53,40,56,0.0,56.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454548,T,62,40,19,0.0,19.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454548,T,65,40,72,0.0,72.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454548,T,72,40,13,0.0,13.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454548,T,73,40,15,0.0,15.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454548,T,75,40,174,0.0,174.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454548,T,85,40,1,0.0,1.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
