area_no,work_type,has_position,voy_id,planned_qty
61,OZ,1,453416,12
61,OZ,1,454585,10
62,T,1,453273,19
62,T,1,453307,19
62,T,1,453308,12
62,T,1,453324,12
62,T,1,453356,7
62,T,1,453388,10
62,T,1,453396,14
62,T,1,453412,19
62,T,1,453416,9
62,T,1,454447,5
62,T,1,454548,19
62,T,1,454585,5
63,T,1,453307,11
63,T,1,453308,11
63,T,1,453324,11
63,T,1,453356,8
63,T,1,453388,3
63,T,1,453396,29
63,T,1,453412,9
63,T,1,453416,26
63,T,1,454447,4
63,T,1,454585,5
64,T,1,453324,7
64,T,1,453352,13
64,T,1,453356,8
64,T,1,453396,4
64,T,1,453412,1
64,T,1,453416,3
64,T,1,454548,152
65,T,1,453308,6
65,T,1,453324,41
65,T,1,453356,14
65,T,1,453388,6
65,T,1,453396,15
65,T,1,453412,8
65,T,1,453416,14
65,T,1,454447,2
65,T,1,454585,1
66,T,1,453308,9
66,T,1,453324,12
66,T,1,453356,10
66,T,1,453388,9
66,T,1,453396,24
66,T,1,453412,16
66,T,1,453416,18
66,T,1,454447,3
66,T,1,454585,9
67,T,1,453308,1
67,T,1,453324,5
67,T,1,453356,3
67,T,1,453388,46
67,T,1,453396,2
67,T,1,453416,10
68,IZ,1,453273,351
68,IZ,1,453307,19
68,IZ,1,453356,10
68,IZ,1,453396,1
68,IZ,1,453416,2
68,IZ,1,454447,1
68,IZ,1,454585,2
69,OF,1,453308,104
69,OF,1,453356,1
69,OF,1,453388,184
69,OF,1,454585,313
6A,OF,1,453308,229
6A,OF,1,454447,24
6B,OF,1,453396,275
6B,OF,1,453412,5
6C,OF,1,453396,246
6D,OF,1,453308,5
6D,OF,1,454447,70
6G,OF,1,453308,1
6G,OF,1,453324,1
6G,OF,1,453396,1
6G,OF,1,454447,1
6H,OF,1,453308,7
6H,OF,1,453396,4
6H,OF,1,453412,5
6H,OF,1,453416,1
6K,OF,1,453308,8
6K,OF,1,453396,416
6K,OF,1,453412,3
70,OZ,1,453308,7
